comunidad,year,precio
andalucia,2003,995.0
andalucia,2003,1033.0
andalucia,2003,1094.0
andalucia,2003,1133.0
andalucia,2004,1186.0
andalucia,2004,1268.0
andalucia,2004,1325.0
andalucia,2004,1385.0
andalucia,2005,1444.0
andalucia,2005,1508.0
andalucia,2005,1575.0
andalucia,2005,1635.0
andalucia,2006,1690.0
andalucia,2006,1743.0
andalucia,2006,1786.0
andalucia,2006,1853.0
andalucia,2007,1891.0
andalucia,2007,1918.0
andalucia,2007,1947.0
andalucia,2007,1961.0
andalucia,2008,1966.0
andalucia,2008,1954.0
andalucia,2008,1943.0
andalucia,2008,1913.0
andalucia,2009,1855.0
andalucia,2009,1819.0
andalucia,2009,1803.0
andalucia,2009,1766.0
andalucia,2010,1753.0
andalucia,2010,1708.0
andalucia,2010,1676.0
andalucia,2010,1649.0
andalucia,2011,1628.0
andalucia,2011,1608.0
andalucia,2011,1572.0
andalucia,2011,1546.0
andalucia,2012,1514.0
andalucia,2012,1467.0
andalucia,2012,1429.0
andalucia,2012,1391.0
andalucia,2013,1334.0
andalucia,2013,1300.0
andalucia,2013,1267.0
andalucia,2013,1245.0
andalucia,2014,1201.0
andalucia,2014,1196.0
andalucia,2014,1186.0
andalucia,2014,1168.0
andalucia,2015,1156.0
andalucia,2015,1148.0
andalucia,2015,1149.0
andalucia,2015,1154.0
andalucia,2016,1163.0
andalucia,2016,1161.0
andalucia,2016,1153.0
andalucia,2016,1160.0
andalucia,2017,1168.0
andalucia,2017,1169.0
andalucia,2017,1183.0
andalucia,2017,1193.0
andalucia,2018,1202.0
andalucia,2018,1220.0
andalucia,2018,1226.0
andalucia,2018,1238.0
andalucia,2019,1233.0
andalucia,2019,1251.0
andalucia,2019,1256.0
andalucia,2019,1262.0
andalucia,2020,1274.0
andalucia,2020,1278.0
andalucia,2020,1268.0
andalucia,2020,1275.0
andalucia,2021,1266.0
andalucia,2021,1302.0
andalucia,2021,1330.0
andalucia,2021,1364.0
andalucia,2022,1367.0
aragon,2003,1055.0
aragon,2003,1077.0
aragon,2003,1093.0
aragon,2003,1122.0
aragon,2004,1170.0
aragon,2004,1230.0
aragon,2004,1260.0
aragon,2004,1307.0
aragon,2005,1371.0
aragon,2005,1422.0
aragon,2005,1487.0
aragon,2005,1566.0
aragon,2006,1653.0
aragon,2006,1734.0
aragon,2006,1800.0
aragon,2006,1862.0
aragon,2007,1934.0
aragon,2007,1967.0
aragon,2007,1963.0
aragon,2007,1966.0
aragon,2008,1965.0
aragon,2008,1942.0
aragon,2008,1910.0
aragon,2008,1909.0
aragon,2009,1895.0
aragon,2009,1890.0
aragon,2009,1913.0
aragon,2009,1918.0
aragon,2010,1877.0
aragon,2010,1810.0
aragon,2010,1774.0
aragon,2010,1729.0
aragon,2011,1676.0
aragon,2011,1633.0
aragon,2011,1569.0
aragon,2011,1535.0
aragon,2012,1489.0
aragon,2012,1429.0
aragon,2012,1372.0
aragon,2012,1338.0
aragon,2013,1279.0
aragon,2013,1253.0
aragon,2013,1220.0
aragon,2013,1196.0
aragon,2014,1169.0
aragon,2014,1154.0
aragon,2014,1138.0
aragon,2014,1131.0
aragon,2015,1121.0
aragon,2015,1118.0
aragon,2015,1095.0
aragon,2015,1085.0
aragon,2016,1065.0
aragon,2016,1073.0
aragon,2016,1074.0
aragon,2016,1072.0
aragon,2017,1065.0
aragon,2017,1059.0
aragon,2017,1061.0
aragon,2017,1057.0
aragon,2018,1058.0
aragon,2018,1068.0
aragon,2018,1071.0
aragon,2018,1086.0
aragon,2019,1104.0
aragon,2019,1121.0
aragon,2019,1142.0
aragon,2019,1151.0
aragon,2020,1162.0
aragon,2020,1157.0
aragon,2020,1176.0
aragon,2020,1170.0
aragon,2021,1176.0
aragon,2021,1171.0
aragon,2021,1184.0
aragon,2021,1222.0
aragon,2022,1243.0
cantabria,2003,1180.0
cantabria,2003,1213.0
cantabria,2003,1261.0
cantabria,2003,1298.0
cantabria,2004,1328.0
cantabria,2004,1384.0
cantabria,2004,1433.0
cantabria,2004,1485.0
cantabria,2005,1552.0
cantabria,2005,1597.0
cantabria,2005,1646.0
cantabria,2005,1686.0
cantabria,2006,1746.0
cantabria,2006,1811.0
cantabria,2006,1862.0
cantabria,2006,1920.0
cantabria,2007,1968.0
cantabria,2007,2023.0
cantabria,2007,2054.0
cantabria,2007,2073.0
cantabria,2008,2068.0
cantabria,2008,2089.0
cantabria,2008,2086.0
cantabria,2008,2059.0
cantabria,2009,2019.0
cantabria,2009,2002.0
cantabria,2009,1992.0
cantabria,2009,1995.0
cantabria,2010,1967.0
cantabria,2010,1942.0
cantabria,2010,1914.0
cantabria,2010,1882.0
cantabria,2011,1874.0
cantabria,2011,1847.0
cantabria,2011,1805.0
cantabria,2011,1770.0
cantabria,2012,1722.0
cantabria,2012,1731.0
cantabria,2012,1690.0
cantabria,2012,1662.0
cantabria,2013,1623.0
cantabria,2013,1587.0
cantabria,2013,1521.0
cantabria,2013,1470.0
cantabria,2014,1478.0
cantabria,2014,1448.0
cantabria,2014,1416.0
cantabria,2014,1372.0
cantabria,2015,1324.0
cantabria,2015,1320.0
cantabria,2015,1324.0
cantabria,2015,1337.0
cantabria,2016,1329.0
cantabria,2016,1308.0
cantabria,2016,1287.0
cantabria,2016,1294.0
cantabria,2017,1287.0
cantabria,2017,1304.0
cantabria,2017,1287.0
cantabria,2017,1294.0
cantabria,2018,1282.0
cantabria,2018,1266.0
cantabria,2018,1278.0
cantabria,2018,1286.0
cantabria,2019,1287.0
cantabria,2019,1282.0
cantabria,2019,1278.0
cantabria,2019,1289.0
cantabria,2020,1327.0
cantabria,2020,1334.0
cantabria,2020,1320.0
cantabria,2020,1327.0
cantabria,2021,1312.0
cantabria,2021,1321.0
cantabria,2021,1311.0
cantabria,2021,1329.0
cantabria,2022,1327.0
castilla-leon,2003,987.0
castilla-leon,2003,1004.0
castilla-leon,2003,1021.0
castilla-leon,2003,1047.0
castilla-leon,2004,1065.0
castilla-leon,2004,1100.0
castilla-leon,2004,1135.0
castilla-leon,2004,1164.0
castilla-leon,2005,1197.0
castilla-leon,2005,1238.0
castilla-leon,2005,1268.0
castilla-leon,2005,1303.0
castilla-leon,2006,1333.0
castilla-leon,2006,1375.0
castilla-leon,2006,1408.0
castilla-leon,2006,1448.0
castilla-leon,2007,1482.0
castilla-leon,2007,1512.0
castilla-leon,2007,1530.0
castilla-leon,2007,1544.0
castilla-leon,2008,1559.0
castilla-leon,2008,1571.0
castilla-leon,2008,1563.0
castilla-leon,2008,1549.0
castilla-leon,2009,1533.0
castilla-leon,2009,1520.0
castilla-leon,2009,1524.0
castilla-leon,2009,1528.0
castilla-leon,2010,1512.0
castilla-leon,2010,1464.0
castilla-leon,2010,1442.0
castilla-leon,2010,1432.0
castilla-leon,2011,1413.0
castilla-leon,2011,1396.0
castilla-leon,2011,1366.0
castilla-leon,2011,1362.0
castilla-leon,2012,1330.0
castilla-leon,2012,1299.0
castilla-leon,2012,1268.0
castilla-leon,2012,1219.0
castilla-leon,2013,1173.0
castilla-leon,2013,1137.0
castilla-leon,2013,1118.0
castilla-leon,2013,1097.0
castilla-leon,2014,1066.0
castilla-leon,2014,1050.0
castilla-leon,2014,1017.0
castilla-leon,2014,1011.0
castilla-leon,2015,1017.0
castilla-leon,2015,1010.0
castilla-leon,2015,1011.0
castilla-leon,2015,1012.0
castilla-leon,2016,1011.0
castilla-leon,2016,996.0
castilla-leon,2016,977.0
castilla-leon,2016,966.0
castilla-leon,2017,966.0
castilla-leon,2017,972.0
castilla-leon,2017,984.0
castilla-leon,2017,992.0
castilla-leon,2018,996.0
castilla-leon,2018,1005.0
castilla-leon,2018,1015.0
castilla-leon,2018,1018.0
castilla-leon,2019,1012.0
castilla-leon,2019,1013.0
castilla-leon,2019,1019.0
castilla-leon,2019,1021.0
castilla-leon,2020,1026.0
castilla-leon,2020,1019.0
castilla-leon,2020,1008.0
castilla-leon,2020,1009.0
castilla-leon,2021,1007.0
castilla-leon,2021,1011.0
castilla-leon,2021,1022.0
castilla-leon,2021,1041.0
castilla-leon,2022,1061.0
castilla-mancha,2003,839.0
castilla-mancha,2003,885.0
castilla-mancha,2003,925.0
castilla-mancha,2003,967.0
castilla-mancha,2004,1023.0
castilla-mancha,2004,1078.0
castilla-mancha,2004,1121.0
castilla-mancha,2004,1186.0
castilla-mancha,2005,1247.0
castilla-mancha,2005,1295.0
castilla-mancha,2005,1349.0
castilla-mancha,2005,1384.0
