comunidad,year,precio
11,2008,1067.0
18,2017,973.0
3,2018,1266.0
8,2010,1913.0
1,2009,1766.0
15,2017,1609.0
17,2021,1277.0
14,2008,1659.0
9,2006,2900.0
15,2015,1606.0
10,2008,1844.0
4,2009,1520.0
1,2009,1819.0
5,2010,1442.0
1,2014,1168.0
2,2010,1810.0
5,2013,966.0
1,2016,1160.0
9,2020,2540.0
3,2017,1294.0
2,2013,1196.0
10,2013,1253.0
8,2021,1383.0
1,2021,1266.0
9,2014,1842.0
8,2018,1143.0
1,2014,1196.0
14,2007,1545.0
7,2018,1748.0
10,2012,1299.0
10,2011,1521.0
12,2009,1472.0
7,2020,1816.0
7,2003,1214.0
9,2021,2577.0
16,2011,2923.0
16,2021,2196.0
1,2018,1202.0
2,2006,1862.0
15,2019,1685.0
3,2013,1623.0
4,2015,1010.0
5,2015,828.0
7,2017,1781.0
9,2021,2471.0
17,2011,1574.0
3,2010,1967.0
2,2011,1633.0
13,2009,2609.0
13,2009,2651.0
3,2015,1324.0
16,2020,2136.0
1,2016,1163.0
8,2004,1393.0
11,2019,821.0
10,2018,1080.0
16,2021,2201.0
9,2009,2974.0
3,2010,1942.0
2,2018,1058.0
11,2015,818.0
2,2003,1122.0
15,2013,1749.0
16,2004,2117.0
8,2003,1277.0
9,2003,1996.0
7,2007,1826.0
3,2005,1686.0
4,2007,1512.0
4,2022,1061.0
13,2019,2276.0
9,2006,2975.0
5,2009,1474.0
2,2008,1965.0
17,2015,1240.0
14,2022,1019.0
2,2009,1890.0
13,2017,2003.0
12,2013,1155.0
17,2005,1330.0
16,2016,2046.0
17,2009,1738.0
4,2020,1009.0
16,2004,2184.0
15,2016,1588.0
6,2003,1593.0
4,2004,1065.0
16,2019,2077.0
13,2014,1938.0
4,2021,1022.0
13,2022,2569.0
15,2013,1752.0
4,2007,1530.0
16,2021,2227.0
13,2013,2049.0
1,2020,1275.0
2,2007,1967.0
18,2005,1427.0
1,2011,1608.0
13,2021,2427.0
6,2018,1937.0
6,2018,1802.0
18,2020,1014.0
13,2018,2101.0
12,2011,1377.0
2,2003,1055.0
2,2004,1307.0
11,2016,804.0
2,2004,1230.0
6,2021,1990.0
11,2018,790.0
13,2011,2348.0
6,2015,1559.0
9,2012,2281.0
10,2020,1150.0
15,2008,1777.0
6,2007,2888.0
16,2017,1997.0
18,2009,1663.0
14,2012,1391.0
2,2009,1918.0
8,2020,1304.0
13,2003,1529.0
11,2006,982.0
1,2018,1226.0
4,2015,1011.0
12,2004,1041.0
4,2004,1164.0
3,2020,1334.0
2,2020,1162.0
17,2018,1223.0
5,2019,817.0
2,2013,1253.0
14,2013,1283.0
4,2007,1544.0
18,2009,1619.0
1,2005,1508.0
6,2019,1947.0
4,2009,1533.0
8,2016,1153.0
6,2004,1679.0
13,2005,1926.0
15,2010,1827.0
8,2007,1927.0
6,2021,2028.0
17,2014,1327.0
2,2019,1151.0
7,2012,1991.0
17,2015,1263.0
8,2003,1251.0
3,2008,2059.0
18,2009,1614.0
10,2006,1737.0
11,2008,1067.0
17,2008,1758.0
12,2005,1204.0
18,2015,1067.0
18,2020,1008.0
1,2004,1385.0
10,2011,1515.0
9,2018,2283.0
15,2008,1715.0
5,2015,832.0
5,2008,1584.0
12,2019,1079.0
14,2017,894.0
14,2017,915.0
4,2009,1528.0
15,2004,1020.0
5,2019,812.0
14,2004,1049.0
18,2018,986.0
2,2019,1121.0
7,2018,1726.0
14,2015,990.0
12,2003,931.0
13,2015,1969.0
18,2005,1368.0
6,2016,1649.0
7,2020,1834.0
13,2008,2700.0
3,2021,1312.0
12,2012,1344.0
3,2021,1311.0
17,2005,1403.0
3,2017,1287.0
2,2003,1093.0
2,2020,1170.0
11,2003,626.0
9,2019,2442.0
14,2019,947.0
12,2020,1064.0
10,2021,1157.0
2,2017,1065.0
14,2013,1240.0
6,2008,2704.0
18,2015,1086.0
7,2014,1904.0
15,2006,1260.0
7,2013,1875.0
13,2018,2197.0
5,2012,1040.0
6,2003,1486.0
1,2003,995.0
5,2016,834.0
18,2003,1002.0
7,2006,1582.0
16,2012,2874.0
14,2004,1121.0
14,2003,914.0
13,2016,1995.0
13,2005,2139.0
11,2011,993.0
3,2007,2054.0
6,2019,1953.0
2,2015,1121.0
11,2017,807.0
7,2020,1820.0
10,2010,1543.0
2,2006,1734.0
18,2010,1500.0
3,2009,1995.0
12,2003,949.0
6,2010,2442.0
4,2008,1559.0
1,2020,1278.0
2,2016,1074.0
4,2020,1019.0
12,2007,1379.0
5,2007,1616.0
18,2014,1086.0
14,2008,1670.0
7,2012,2000.0
12,2005,1173.0
5,2017,806.0
7,2011,2117.0
17,2017,1176.0
5,2010,1347.0
6,2012,2119.0
3,2005,1646.0
1,2010,1753.0
7,2016,1813.0
3,2012,1662.0
11,2015,811.0
14,2005,1219.0
3,2006,1920.0
13,2004,1805.0
9,2014,1836.0
3,2007,2073.0
7,2017,1786.0
17,2005,1369.0
12,2018,1079.0
7,2010,2081.0
1,2021,1302.0
15,2021,1725.0
8,2015,1274.0
14,2003,1012.0
9,2016,1847.0
4,2003,1047.0
10,2015,1029.0
3,2018,1282.0
3,2005,1552.0
2,2016,1072.0
18,2004,1150.0
13,2009,2564.0
15,2016,1591.0
3,2010,1882.0
1,2013,1300.0
10,2005,1444.0
2,2010,1729.0
1,2012,1429.0
8,2010,1981.0
14,2020,963.0
16,2005,2436.0
18,2008,1711.0
7,2008,1881.0
7,2004,1344.0
1,2009,1855.0
18,2011,1489.0
12,2010,1404.0
13,2016,1999.0
16,2017,2006.0
5,2017,805.0
7,2013,1867.0
16,2019,2102.0
5,2021,897.0
10,2016,1020.0
10,2011,1467.0
17,2003,1192.0
6,2020,1999.0
4,2011,1396.0
13,2018,2091.0
4,2003,1004.0
6,2017,1799.0
6,2005,2209.0
13,2012,2117.0
3,2008,2086.0
1,2007,1947.0
16,2018,2048.0
14,2019,963.0
5,2011,1251.0
12,2012,1241.0
8,2017,1129.0
1,2018,1220.0
4,2013,1137.0
16,2019,2054.0
17,2020,1266.0
4,2014,1011.0
17,2006,1504.0
10,2006,1557.0
5,2018,802.0
17,2014,1348.0
1,2012,1514.0
10,2016,1020.0
17,2003,1130.0
9,2017,2026.0
14,2020,976.0
14,2012,1385.0
8,2005,1513.0
15,2008,1736.0
10,2004,1204.0
10,2017,1022.0
3,2012,1731.0
6,2020,2001.0
12,2011,1395.0
6,2005,2030.0
9,2020,2459.0
11,2003,648.0
18,2016,987.0
10,2014,1072.0
6,2011,2238.0
5,2019,835.0
6,2009,2516.0
1,2021,1330.0
18,2003,947.0
17,2013,1435.0
7,2012,1991.0
11,2019,815.0
3,2013,1587.0
9,2003,1790.0
2,2012,1429.0
6,2011,2334.0
8,2018,1177.0
8,2019,1213.0
18,2007,1724.0
2,2006,1653.0
12,2006,1234.0
14,2017,899.0
18,2007,1707.0
10,2020,1147.0
7,2012,2027.0
15,2006,1159.0
18,2008,1727.0
15,2007,1566.0
15,2007,1459.0
1,2005,1635.0
6,2005,2318.0
13,2016,1989.0
8,2007,1849.0
1,2013,1267.0
12,2004,1002.0
3,2006,1811.0
6,2010,2369.0
8,2012,1708.0
11,2021,839.0
4,2012,1330.0
14,2014,1133.0
6,2013,1677.0
10,2005,1308.0
