comunidad,year,precio
8,2004,1353.0
17,2019,1247.0
9,2020,2511.0
10,2004,1250.0
14,2005,1189.0
16,2020,2140.0
12,2006,1343.0
18,2014,1080.0
3,2004,1384.0
12,2017,1084.0
18,2012,1338.0
4,2009,1524.0
14,2021,987.0
5,2009,1470.0
17,2020,1268.0
1,2006,1853.0
7,2016,1809.0
5,2007,1574.0
11,2005,839.0
8,2020,1284.0
16,2020,2112.0
15,2022,1709.0
13,2011,2357.0
12,2020,1062.0
3,2020,1327.0
3,2009,2002.0
14,2013,1158.0
2,2008,1910.0
12,2003,887.0
10,2021,1206.0
7,2017,1777.0
11,2003,672.0
1,2008,1943.0
5,2015,834.0
10,2015,1025.0
15,2019,1683.0
17,2016,1206.0
8,2021,1303.0
16,2007,2894.0
5,2011,1291.0
6,2014,1518.0
14,2006,1469.0
3,2018,1286.0
12,2021,1120.0
3,2015,1320.0
15,2011,1823.0
18,2012,1264.0
15,2014,1656.0
2,2007,1934.0
18,2006,1607.0
1,2020,1274.0
16,2017,1999.0
4,2016,996.0
10,2006,1682.0
2,2005,1371.0
6,2015,1491.0
17,2007,1729.0
2,2022,1243.0
1,2021,1364.0
13,2015,1953.0
16,2016,2054.0
18,2021,1043.0
11,2010,994.0
8,2013,1498.0
6,2018,1839.0
10,2008,1868.0
3,2011,1805.0
4,2013,1173.0
16,2012,2668.0
12,2015,1092.0
4,2004,1100.0
7,2009,2074.0
18,2010,1607.0
8,2008,1979.0
2,2013,1279.0
9,2011,2704.0
17,2007,1690.0
11,2013,864.0
10,2020,1149.0
7,2015,1863.0
9,2010,2812.0
14,2007,1617.0
16,2006,2630.0
12,2020,1079.0
17,2009,1636.0
2,2015,1118.0
11,2010,997.0
11,2020,832.0
2,2012,1338.0
7,2005,1491.0
10,2017,1037.0
17,2018,1200.0
13,2012,2206.0
1,2017,1169.0
8,2019,1194.0
11,2009,1052.0
11,2020,831.0
2,2013,1220.0
9,2015,1828.0
15,2010,1826.0
9,2019,2361.0
2,2010,1877.0
9,2010,2755.0
5,2018,803.0
4,2012,1299.0
9,2015,1814.0
11,2018,804.0
13,2008,2734.0
11,2018,805.0
12,2010,1401.0
1,2014,1186.0
16,2014,2366.0
14,2003,937.0
12,2013,1212.0
11,2006,957.0
1,2004,1186.0
14,2006,1418.0
4,2011,1413.0
15,2006,1320.0
17,2011,1562.0
6,2017,1781.0
14,2006,1369.0
12,2003,909.0
17,2004,1294.0
4,2021,1011.0
15,2004,1019.0
5,2004,1078.0
2,2021,1176.0
8,2011,1815.0
1,2015,1149.0
15,2003,1005.0
10,2014,1079.0
11,2021,838.0
7,2005,1385.0
13,2017,2022.0
9,2015,1816.0
6,2006,2631.0
7,2015,1898.0
5,2006,1432.0
1,2007,1961.0
10,2003,1000.0
1,2011,1546.0
12,2019,1076.0
11,2020,825.0
17,2005,1462.0
6,2008,2765.0
13,2004,1862.0
7,2021,1891.0
10,2022,1219.0
14,2021,979.0
4,2006,1408.0
11,2009,1064.0
7,2009,2082.0
3,2003,1180.0
13,2015,1946.0
12,2007,1422.0
9,2005,2667.0
10,2003,1038.0
8,2010,1951.0
18,2006,1512.0
1,2007,1918.0
2,2015,1095.0
13,2006,2333.0
13,2019,2309.0
18,2015,1049.0
3,2012,1722.0
14,2003,972.0
18,2014,1095.0
8,2019,1259.0
3,2009,1992.0
4,2020,1008.0
7,2011,2086.0
16,2014,2323.0
16,2003,1807.0
18,2021,1027.0
7,2016,1787.0
15,2003,1001.0
7,2006,1648.0
3,2003,1298.0
1,2007,1891.0
15,2004,1005.0
8,2004,1445.0
9,2016,1865.0
15,2016,1605.0
14,2010,1572.0
16,2003,1855.0
13,2014,1935.0
17,2021,1299.0
4,2016,1011.0
11,2012,913.0
3,2020,1327.0
1,2009,1803.0
6,2016,1568.0
18,2012,1304.0
3,2021,1329.0
1,2012,1467.0
10,2019,1135.0
14,2016,890.0
7,2004,1378.0
16,2011,2912.0
18,2016,1010.0
10,2004,1144.0
17,2013,1407.0
9,2011,2626.0
16,2015,2167.0
15,2021,1681.0
18,2020,1019.0
11,2013,873.0
3,2004,1433.0
13,2013,1965.0
11,2018,801.0
16,2006,2817.0
12,2013,1188.0
13,2003,1485.0
2,2021,1222.0
17,2012,1540.0
7,2014,1925.0
16,2003,1898.0
2,2009,1913.0
8,2014,1318.0
16,2022,2246.0
1,2016,1161.0
2,2021,1184.0
6,2007,2874.0
3,2016,1308.0
18,2003,1042.0
15,2016,1590.0
1,2005,1444.0
14,2009,1672.0
14,2020,980.0
6,2019,2012.0
4,2008,1563.0
12,2018,1077.0
16,2018,1980.0
12,2014,1123.0
18,2003,888.0
9,2004,2511.0
5,2012,1126.0
16,2013,2532.0
4,2010,1432.0
2,2021,1171.0
7,2005,1429.0
9,2011,2581.0
18,2019,991.0
17,2021,1286.0
8,2005,1617.0
13,2006,2402.0
7,2009,2101.0
17,2008,1755.0
2,2020,1157.0
6,2007,2872.0
13,2013,2013.0
17,2020,1259.0
9,2016,1878.0
7,2003,1129.0
3,2011,1874.0
16,2003,1940.0
8,2020,1317.0
2,2019,1142.0
10,2020,1146.0
13,2020,2348.0
3,2013,1470.0
12,2014,1106.0
4,2015,1017.0
4,2018,1015.0
17,2010,1598.0
6,2006,2744.0
2,2014,1154.0
3,2015,1324.0
11,2022,833.0
4,2006,1448.0
18,2021,1029.0
17,2021,1284.0
16,2005,2306.0
5,2022,917.0
12,2007,1452.0
3,2019,1282.0
9,2012,2522.0
1,2003,1033.0
2,2011,1535.0
10,2007,1782.0
18,2006,1645.0
13,2012,2119.0
16,2020,2108.0
17,2008,1734.0
6,2017,1669.0
15,2020,1693.0
9,2017,2076.0
17,2012,1554.0
5,2005,1295.0
9,2013,1959.0
10,2009,1644.0
13,2017,2045.0
9,2005,2822.0
9,2009,2884.0
18,2013,1149.0
17,2015,1271.0
11,2012,953.0
9,2013,2217.0
14,2008,1669.0
8,2007,1904.0
9,2022,2747.0
8,2012,1636.0
15,2013,1726.0
16,2015,2085.0
7,2018,1720.0
14,2020,975.0
8,2003,1269.0
16,2018,1972.0
10,2019,1119.0
17,2015,1239.0
7,2008,1934.0
2,2007,1963.0
14,2010,1560.0
8,2009,2065.0
10,2018,1044.0
12,2009,1433.0
12,2016,1071.0
14,2015,1015.0
3,2016,1329.0
6,2004,1943.0
11,2011,974.0
12,2011,1389.0
6,2006,2427.0
11,2004,781.0
17,2013,1444.0
14,2012,1350.0
9,2012,2467.0
8,2021,1329.0
13,2014,1939.0
10,2013,1147.0
10,2003,959.0
2,2008,1942.0
11,2014,859.0
6,2008,2841.0
7,2013,1945.0
15,2004,1005.0
14,2019,949.0
13,2007,2480.0
11,2008,1064.0
3,2014,1416.0
2,2017,1059.0
14,2018,921.0
1,2013,1334.0
14,2009,1660.0
3,2022,1327.0
5,2020,844.0
4,2017,972.0
6,2011,2297.0
6,2004,1856.0
8,2016,1168.0
16,2010,2982.0
15,2007,1617.0
9,2013,2023.0
16,2005,2242.0
7,2017,1793.0
1,2019,1233.0
1,2006,1786.0
16,2015,2216.0
14,2021,993.0
7,2010,2108.0
5,2020,850.0
3,2011,1847.0
11,2004,710.0
3,2018,1278.0
11,2011,1001.0
15,2005,1073.0
12,2013,1180.0
5,2010,1406.0
10,2012,1367.0
4,2019,1012.0
14,2009,1648.0
17,2019,1226.0
6,2020,1997.0
11,2017,806.0
4,2012,1268.0
14,2004,1086.0
3,2014,1372.0
3,2004,1485.0
10,2014,1057.0
6,2007,2831.0
10,2008,1878.0
15,2018,1660.0
8,2009,2048.0
14,2010,1526.0
14,2011,1407.0
15,2012,1812.0
3,2015,1337.0
1,2011,1572.0
11,2007,1010.0
7,2014,1931.0
18,2017,976.0
2,2006,1800.0
12,2018,1084.0
8,2009,2069.0
11,2007,1037.0
4,2005,1268.0
1,2006,1743.0
5,2004,1186.0
8,2018,1161.0
6,2003,1515.0
18,2005,1472.0
3,2006,1746.0
12,2004,967.0
1,2008,1966.0
9,2013,2131.0
16,2005,2364.0
11,2021,832.0
17,2017,1177.0
8,2008,2029.0
18,2013,1180.0
10,2004,1084.0
13,2014,1931.0
3,2011,1770.0
13,2018,2172.0
10,2007,1823.0
7,2015,1902.0
15,2006,1395.0
7,2006,1534.0
12,2008,1504.0
10,2019,1110.0
4,2008,1571.0
1,2008,1954.0
18,2015,1045.0
6,2021,2007.0
16,2016,2048.0
4,2014,1050.0
13,2013,1986.0
17,2004,1274.0
6,2003,1415.0
11,2014,837.0
5,2011,1205.0
11,2005,874.0
18,2014,1101.0
2,2016,1073.0
12,2011,1367.0
15,2017,1593.0
2,2005,1487.0
5,2008,1540.0
17,2010,1590.0
7,2004,1260.0
2,2014,1169.0
14,2016,899.0
15,2010,1815.0
15,2018,1671.0
18,2005,1301.0
12,2009,1480.0
15,2017,1637.0
