comunidad,year,precio
10,2018,1101.0
8,2017,1149.0
5,2014,884.0
15,2012,1774.0
12,2012,1268.0
5,2004,1023.0
5,2016,811.0
3,2003,1213.0
3,2021,1321.0
18,2019,1014.0
8,2008,1981.0
5,2020,839.0
4,2010,1464.0
13,2016,1958.0
13,2017,1970.0
6,2020,2015.0
9,2005,2742.0
9,2004,2324.0
1,2010,1676.0
18,2018,991.0
17,2009,1749.0
7,2011,2131.0
4,2013,1118.0
13,2021,2546.0
1,2005,1575.0
11,2008,1066.0
10,2017,1026.0
8,2014,1381.0
17,2009,1585.0
17,2008,1736.0
13,2011,2311.0
10,2008,1804.0
8,2015,1213.0
8,2016,1186.0
16,2021,2151.0
5,2013,908.0
11,2016,812.0
5,2021,870.0
12,2017,1062.0
11,2019,807.0
18,2006,1555.0
18,2010,1571.0
1,2018,1238.0
18,2017,971.0
11,2021,830.0
9,2019,2508.0
13,2011,2369.0
9,2018,2164.0
15,2014,1640.0
5,2016,817.0
8,2003,1294.0
12,2014,1107.0
10,2011,1515.0
9,2017,1977.0
17,2006,1583.0
2,2019,1104.0
14,2009,1649.0
14,2004,1161.0
18,2004,1201.0
5,2006,1545.0
13,2020,2339.0
1,2017,1193.0
8,2018,1182.0
7,2015,1850.0
3,2014,1478.0
18,2008,1741.0
17,2017,1191.0
17,2014,1301.0
13,2003,1625.0
7,2019,1813.0
13,2019,2250.0
10,2005,1373.0
14,2014,1105.0
15,2021,1667.0
12,2017,1062.0
11,2005,888.0
3,2019,1289.0
4,2003,1021.0
9,2011,2684.0
12,2006,1304.0
1,2022,1367.0
4,2015,1012.0
4,2007,1482.0
15,2003,974.0
9,2005,2585.0
6,2015,1490.0
14,2011,1440.0
2,2020,1176.0
6,2013,1594.0
1,2019,1262.0
5,2015,826.0
6,2004,1775.0
15,2019,1687.0
9,2020,2465.0
4,2010,1442.0
18,2016,1025.0
1,2017,1183.0
12,2008,1496.0
13,2010,2457.0
16,2004,2004.0
10,2021,1177.0
1,2015,1154.0
3,2008,2068.0
14,2021,1002.0
9,2015,1812.0
10,2012,1422.0
4,2017,984.0
11,2015,824.0
16,2004,2061.0
10,2009,1677.0
11,2020,829.0
14,2007,1595.0
14,2018,926.0
11,2015,812.0
13,2007,2625.0
8,2006,1719.0
9,2017,2112.0
2,2017,1061.0
2,2014,1131.0
18,2009,1640.0
8,2012,1776.0
8,2015,1230.0
13,2021,2375.0
11,2006,937.0
8,2011,1875.0
1,2003,1094.0
5,2014,858.0
6,2016,1585.0
18,2017,980.0
12,2021,1100.0
16,2011,2892.0
17,2019,1241.0
7,2021,1864.0
7,2006,1732.0
5,2013,1007.0
12,2006,1277.0
6,2017,1721.0
17,2020,1238.0
14,2005,1325.0
9,2009,2885.0
11,2006,905.0
12,2005,1109.0
16,2013,2433.0
11,2007,1057.0
10,2015,1035.0
2,2018,1071.0
7,2021,1823.0
11,2009,1064.0
10,2006,1621.0
4,2019,1019.0
1,2016,1153.0
8,2005,1558.0
15,2009,1814.0
2,2011,1676.0
2,2017,1057.0
15,2009,1803.0
11,2004,754.0
8,2013,1446.0
10,2010,1569.0
14,2014,1054.0
18,2013,1227.0
18,2018,984.0
6,2022,2049.0
5,2016,826.0
17,2010,1621.0
4,2017,966.0
11,2016,805.0
13,2005,2073.0
18,2016,994.0
5,2019,830.0
9,2010,2736.0
15,2007,1524.0
6,2011,2183.0
13,2008,2729.0
3,2006,1862.0
2,2003,1077.0
13,2021,2474.0
14,2013,1202.0
17,2003,1167.0
15,2015,1580.0
15,2008,1677.0
5,2003,839.0
11,2019,806.0
9,2012,2354.0
13,2010,2461.0
6,2009,2548.0
17,2014,1372.0
6,2012,1832.0
18,2020,1015.0
10,2007,1876.0
17,2016,1209.0
8,2008,1988.0
12,2019,1073.0
7,2007,1787.0
12,2015,1088.0
4,2021,1041.0
9,2014,1862.0
8,2021,1354.0
14,2018,932.0
6,2019,1963.0
10,2021,1179.0
17,2012,1580.0
17,2017,1182.0
9,2004,2418.0
3,2017,1304.0
7,2014,1892.0
3,2009,2019.0
2,2018,1086.0
14,2010,1615.0
5,2017,799.0
4,2003,987.0
3,2010,1914.0
5,2021,857.0
1,2017,1168.0
3,2005,1597.0
10,2019,1116.0
5,2003,885.0
15,2005,1120.0
15,2010,1828.0
4,2005,1197.0
13,2005,2001.0
10,2010,1593.0
15,2012,1802.0
10,2014,1081.0
18,2022,1050.0
4,2017,992.0
15,2014,1648.0
9,2021,2507.0
12,2009,1434.0
8,2019,1232.0
15,2013,1677.0
2,2012,1489.0
10,2009,1740.0
2,2004,1260.0
5,2005,1384.0
15,2003,955.0
2,2016,1065.0
18,2011,1466.0
15,2011,1838.0
11,2014,823.0
15,2014,1646.0
13,2006,2265.0
16,2015,2120.0
5,2009,1463.0
16,2019,2068.0
5,2008,1507.0
1,2014,1201.0
9,2003,2112.0
4,2016,966.0
7,2013,1890.0
17,2016,1226.0
9,2016,1897.0
14,2014,1088.0
6,2009,2620.0
7,2009,2059.0
14,2016,924.0
7,2003,1116.0
12,2005,1140.0
3,2019,1278.0
12,2016,1073.0
15,2011,1832.0
7,2011,2148.0
16,2006,2719.0
14,2015,961.0
6,2012,1885.0
6,2012,1995.0
10,2012,1338.0
13,2015,1930.0
14,2005,1267.0
17,2006,1612.0
13,2020,2364.0
10,2007,1860.0
4,2018,996.0
