,comunidad,year,precio
110,aragon,2011,1633.0
111,aragon,2011,1569.0
112,aragon,2011,1535.0
113,aragon,2012,1489.0
114,aragon,2012,1429.0
115,aragon,2012,1372.0
116,aragon,2012,1338.0
117,aragon,2013,1279.0
118,aragon,2013,1253.0
119,aragon,2013,1220.0
120,aragon,2013,1196.0
121,aragon,2014,1169.0
122,aragon,2014,1154.0
123,aragon,2014,1138.0
124,aragon,2014,1131.0
125,aragon,2015,1121.0
126,aragon,2015,1118.0
127,aragon,2015,1095.0
128,aragon,2015,1085.0
129,aragon,2016,1065.0
130,aragon,2016,1073.0
131,aragon,2016,1074.0
132,aragon,2016,1072.0
133,aragon,2017,1065.0
134,aragon,2017,1059.0
135,aragon,2017,1061.0
136,aragon,2017,1057.0
137,aragon,2018,1058.0
138,aragon,2018,1068.0
139,aragon,2018,1071.0
140,aragon,2018,1086.0
141,aragon,2019,1104.0
142,aragon,2019,1121.0
143,aragon,2019,1142.0
144,aragon,2019,1151.0
145,aragon,2020,1162.0
146,aragon,2020,1157.0
147,aragon,2020,1176.0
148,aragon,2020,1170.0
149,aragon,2021,1176.0
150,aragon,2021,1171.0
151,aragon,2021,1184.0
152,aragon,2021,1222.0
153,aragon,2022,1243.0
154,cantabria,2003,1180.0
155,cantabria,2003,1213.0
156,cantabria,2003,1261.0
157,cantabria,2003,1298.0
158,cantabria,2004,1328.0
159,cantabria,2004,1384.0
160,cantabria,2004,1433.0
161,cantabria,2004,1485.0
162,cantabria,2005,1552.0
163,cantabria,2005,1597.0
164,cantabria,2005,1646.0
165,cantabria,2005,1686.0
166,cantabria,2006,1746.0
167,cantabria,2006,1811.0
168,cantabria,2006,1862.0
169,cantabria,2006,1920.0
170,cantabria,2007,1968.0
171,cantabria,2007,2023.0
172,cantabria,2007,2054.0
173,cantabria,2007,2073.0
174,cantabria,2008,2068.0
175,cantabria,2008,2089.0
176,cantabria,2008,2086.0
177,cantabria,2008,2059.0
178,cantabria,2009,2019.0
179,cantabria,2009,2002.0
180,cantabria,2009,1992.0
181,cantabria,2009,1995.0
182,cantabria,2010,1967.0
183,cantabria,2010,1942.0
184,cantabria,2010,1914.0
185,cantabria,2010,1882.0
186,cantabria,2011,1874.0
187,cantabria,2011,1847.0
188,cantabria,2011,1805.0
189,cantabria,2011,1770.0
190,cantabria,2012,1722.0
191,cantabria,2012,1731.0
192,cantabria,2012,1690.0
193,cantabria,2012,1662.0
194,cantabria,2013,1623.0
195,cantabria,2013,1587.0
196,cantabria,2013,1521.0
197,cantabria,2013,1470.0
198,cantabria,2014,1478.0
199,cantabria,2014,1448.0
200,cantabria,2014,1416.0
201,cantabria,2014,1372.0
202,cantabria,2015,1324.0
203,cantabria,2015,1320.0
204,cantabria,2015,1324.0
205,cantabria,2015,1337.0
206,cantabria,2016,1329.0
207,cantabria,2016,1308.0
208,cantabria,2016,1287.0
209,cantabria,2016,1294.0
210,cantabria,2017,1287.0
211,cantabria,2017,1304.0
212,cantabria,2017,1287.0
213,cantabria,2017,1294.0
214,cantabria,2018,1282.0
215,cantabria,2018,1266.0
216,cantabria,2018,1278.0
217,cantabria,2018,1286.0
218,cantabria,2019,1287.0
219,cantabria,2019,1282.0
220,cantabria,2019,1278.0
221,cantabria,2019,1289.0
222,cantabria,2020,1327.0
223,cantabria,2020,1334.0
224,cantabria,2020,1320.0
225,cantabria,2020,1327.0
226,cantabria,2021,1312.0
227,cantabria,2021,1321.0
228,cantabria,2021,1311.0
229,cantabria,2021,1329.0
230,cantabria,2022,1327.0
231,castilla-leon,2003,987.0
232,castilla-leon,2003,1004.0
233,castilla-leon,2003,1021.0
234,castilla-leon,2003,1047.0
235,castilla-leon,2004,1065.0
236,castilla-leon,2004,1100.0
237,castilla-leon,2004,1135.0
238,castilla-leon,2004,1164.0
239,castilla-leon,2005,1197.0
240,castilla-leon,2005,1238.0
241,castilla-leon,2005,1268.0
242,castilla-leon,2005,1303.0
243,castilla-leon,2006,1333.0
244,castilla-leon,2006,1375.0
245,castilla-leon,2006,1408.0
246,castilla-leon,2006,1448.0
247,castilla-leon,2007,1482.0
248,castilla-leon,2007,1512.0
249,castilla-leon,2007,1530.0
250,castilla-leon,2007,1544.0
251,castilla-leon,2008,1559.0
252,castilla-leon,2008,1571.0
253,castilla-leon,2008,1563.0
254,castilla-leon,2008,1549.0
255,castilla-leon,2009,1533.0
256,castilla-leon,2009,1520.0
257,castilla-leon,2009,1524.0
258,castilla-leon,2009,1528.0
259,castilla-leon,2010,1512.0
260,castilla-leon,2010,1464.0
261,castilla-leon,2010,1442.0
262,castilla-leon,2010,1432.0
263,castilla-leon,2011,1413.0
264,castilla-leon,2011,1396.0
265,castilla-leon,2011,1366.0
266,castilla-leon,2011,1362.0
267,castilla-leon,2012,1330.0
268,castilla-leon,2012,1299.0
269,castilla-leon,2012,1268.0
270,castilla-leon,2012,1219.0
271,castilla-leon,2013,1173.0
272,castilla-leon,2013,1137.0
273,castilla-leon,2013,1118.0
274,castilla-leon,2013,1097.0
275,castilla-leon,2014,1066.0
276,castilla-leon,2014,1050.0
277,castilla-leon,2014,1017.0
278,castilla-leon,2014,1011.0
279,castilla-leon,2015,1017.0
280,castilla-leon,2015,1010.0
281,castilla-leon,2015,1011.0
282,castilla-leon,2015,1012.0
283,castilla-leon,2016,1011.0
284,castilla-leon,2016,996.0
285,castilla-leon,2016,977.0
286,castilla-leon,2016,966.0
287,castilla-leon,2017,966.0
288,castilla-leon,2017,972.0
289,castilla-leon,2017,984.0
290,castilla-leon,2017,992.0
291,castilla-leon,2018,996.0
292,castilla-leon,2018,1005.0
293,castilla-leon,2018,1015.0
294,castilla-leon,2018,1018.0
295,castilla-leon,2019,1012.0
296,castilla-leon,2019,1013.0
297,castilla-leon,2019,1019.0
298,castilla-leon,2019,1021.0
299,castilla-leon,2020,1026.0
300,castilla-leon,2020,1019.0
301,castilla-leon,2020,1008.0
302,castilla-leon,2020,1009.0
303,castilla-leon,2021,1007.0
304,castilla-leon,2021,1011.0
305,castilla-leon,2021,1022.0
306,castilla-leon,2021,1041.0
307,castilla-leon,2022,1061.0
308,castilla-mancha,2003,839.0
309,castilla-mancha,2003,885.0
310,castilla-mancha,2003,925.0
311,castilla-mancha,2003,967.0
312,castilla-mancha,2004,1023.0
313,castilla-mancha,2004,1078.0
314,castilla-mancha,2004,1121.0
315,castilla-mancha,2004,1186.0
316,castilla-mancha,2005,1247.0
317,castilla-mancha,2005,1295.0
318,castilla-mancha,2005,1349.0
319,castilla-mancha,2005,1384.0
320,castilla-mancha,2006,1432.0
321,castilla-mancha,2006,1473.0
322,castilla-mancha,2006,1512.0
323,castilla-mancha,2006,1545.0
324,castilla-mancha,2007,1574.0
325,castilla-mancha,2007,1603.0
326,castilla-mancha,2007,1616.0
327,castilla-mancha,2007,1625.0
328,castilla-mancha,2008,1618.0
329,castilla-mancha,2008,1584.0
330,castilla-mancha,2008,1540.0
331,castilla-mancha,2008,1507.0
332,castilla-mancha,2009,1463.0
333,castilla-mancha,2009,1446.0
334,castilla-mancha,2009,1474.0
335,castilla-mancha,2009,1470.0
336,castilla-mancha,2010,1442.0
337,castilla-mancha,2010,1406.0
338,castilla-mancha,2010,1347.0
339,castilla-mancha,2010,1327.0
340,castilla-mancha,2011,1291.0
341,castilla-mancha,2011,1251.0
342,castilla-mancha,2011,1221.0
343,castilla-mancha,2011,1205.0
344,castilla-mancha,2012,1181.0
345,castilla-mancha,2012,1126.0
346,castilla-mancha,2012,1079.0
347,castilla-mancha,2012,1040.0
348,castilla-mancha,2013,1007.0
349,castilla-mancha,2013,966.0
350,castilla-mancha,2013,940.0
351,castilla-mancha,2013,908.0
352,castilla-mancha,2014,884.0
353,castilla-mancha,2014,866.0
354,castilla-mancha,2014,858.0
355,castilla-mancha,2014,847.0
356,castilla-mancha,2015,834.0
357,castilla-mancha,2015,832.0
358,castilla-mancha,2015,826.0
359,castilla-mancha,2015,828.0
360,castilla-mancha,2016,834.0
361,castilla-mancha,2016,826.0
362,castilla-mancha,2016,817.0
363,castilla-mancha,2016,811.0
364,castilla-mancha,2017,806.0
365,castilla-mancha,2017,811.0
366,castilla-mancha,2017,805.0
367,castilla-mancha,2017,799.0
368,castilla-mancha,2018,802.0
369,castilla-mancha,2018,803.0
370,castilla-mancha,2018,807.0
371,castilla-mancha,2018,813.0
372,castilla-mancha,2019,812.0
373,castilla-mancha,2019,817.0
374,castilla-mancha,2019,830.0
375,castilla-mancha,2019,835.0
376,castilla-mancha,2020,839.0
377,castilla-mancha,2020,836.0
378,castilla-mancha,2020,844.0
379,castilla-mancha,2020,850.0
380,castilla-mancha,2021,857.0
381,castilla-mancha,2021,870.0
382,castilla-mancha,2021,877.0
383,castilla-mancha,2021,897.0
384,castilla-mancha,2022,917.0
385,catalunya,2003,1415.0
386,catalunya,2003,1486.0
387,catalunya,2003,1515.0
388,catalunya,2003,1593.0
389,catalunya,2004,1679.0
390,catalunya,2004,1775.0
391,catalunya,2004,1856.0
392,catalunya,2004,1943.0
393,catalunya,2005,2030.0
394,catalunya,2005,2136.0
395,catalunya,2005,2209.0
396,catalunya,2005,2318.0
397,catalunya,2006,2427.0
398,catalunya,2006,2548.0
399,catalunya,2006,2631.0
400,catalunya,2006,2744.0
401,catalunya,2007,2831.0
402,catalunya,2007,2872.0
403,catalunya,2007,2874.0
404,catalunya,2007,2888.0
405,catalunya,2008,2875.0
406,catalunya,2008,2841.0
407,catalunya,2008,2765.0
408,catalunya,2008,2704.0
409,catalunya,2009,2620.0
410,catalunya,2009,2548.0
411,catalunya,2009,2509.0
412,catalunya,2009,2516.0
413,catalunya,2010,2477.0
414,catalunya,2010,2442.0
415,catalunya,2010,2391.0
416,catalunya,2010,2369.0
417,catalunya,2011,2334.0
418,catalunya,2011,2297.0
419,catalunya,2011,2238.0
420,catalunya,2011,2183.0
421,catalunya,2012,2119.0
422,catalunya,2012,1995.0
423,catalunya,2012,1885.0
424,catalunya,2012,1832.0
425,catalunya,2013,1748.0
426,catalunya,2013,1677.0
427,catalunya,2013,1642.0
428,catalunya,2013,1594.0
429,catalunya,2014,1556.0
430,catalunya,2014,1527.0
431,catalunya,2014,1518.0
432,catalunya,2014,1504.0
433,catalunya,2015,1490.0
434,catalunya,2015,1491.0
435,catalunya,2015,1511.0
436,catalunya,2015,1559.0
437,catalunya,2016,1568.0
438,catalunya,2016,1585.0
439,catalunya,2016,1577.0
440,catalunya,2016,1649.0
441,catalunya,2017,1669.0
442,catalunya,2017,1721.0
443,catalunya,2017,1781.0
444,catalunya,2017,1799.0
445,catalunya,2018,1802.0
446,catalunya,2018,1839.0
447,catalunya,2018,1851.0
448,catalunya,2018,1937.0
449,catalunya,2019,1947.0
450,catalunya,2019,1953.0
451,catalunya,2019,1963.0
452,catalunya,2019,2012.0
453,catalunya,2020,2015.0
454,catalunya,2020,1999.0
455,catalunya,2020,1997.0
456,catalunya,2020,2001.0
457,catalunya,2021,1990.0
458,catalunya,2021,2008.0
459,catalunya,2021,2007.0
460,catalunya,2021,2028.0
461,catalunya,2022,2049.0
462,ceuta,2003,1116.0
463,ceuta,2003,1129.0
464,ceuta,2003,1147.0
465,ceuta,2003,1214.0
466,ceuta,2004,1260.0
467,ceuta,2004,1300.0
468,ceuta,2004,1344.0
469,ceuta,2004,1378.0
470,ceuta,2005,1385.0
471,ceuta,2005,1400.0
472,ceuta,2005,1429.0
473,ceuta,2005,1491.0
474,ceuta,2006,1534.0
475,ceuta,2006,1582.0
476,ceuta,2006,1648.0
477,ceuta,2006,1732.0
478,ceuta,2007,1750.0
479,ceuta,2007,1787.0
480,ceuta,2007,1826.0
481,ceuta,2007,1832.0
482,ceuta,2008,1855.0
483,ceuta,2008,1881.0
484,ceuta,2008,1934.0
485,ceuta,2008,1996.0
486,ceuta,2009,2059.0
487,ceuta,2009,2074.0
488,ceuta,2009,2101.0
489,ceuta,2009,2082.0
490,ceuta,2010,2080.0
491,ceuta,2010,2081.0
492,ceuta,2010,2108.0
493,ceuta,2010,2125.0
494,ceuta,2011,2148.0
495,ceuta,2011,2117.0
496,ceuta,2011,2086.0
497,ceuta,2011,2131.0
498,ceuta,2012,2027.0
499,ceuta,2012,2000.0
500,ceuta,2012,1991.0
501,ceuta,2012,1991.0
502,ceuta,2013,1945.0
503,ceuta,2013,1890.0
504,ceuta,2013,1875.0
505,ceuta,2013,1867.0
506,ceuta,2014,1892.0
507,ceuta,2014,1904.0
508,ceuta,2014,1931.0
509,ceuta,2014,1925.0
510,ceuta,2015,1902.0
511,ceuta,2015,1898.0
512,ceuta,2015,1863.0
513,ceuta,2015,1850.0
514,ceuta,2016,1830.0
515,ceuta,2016,1809.0
516,ceuta,2016,1813.0
517,ceuta,2016,1787.0
518,ceuta,2017,1786.0
519,ceuta,2017,1781.0
520,ceuta,2017,1793.0
521,ceuta,2017,1777.0
522,ceuta,2018,1770.0
523,ceuta,2018,1748.0
524,ceuta,2018,1720.0
525,ceuta,2018,1726.0
526,ceuta,2019,1749.0
527,ceuta,2019,1763.0
528,ceuta,2019,1794.0
529,ceuta,2019,1813.0
530,ceuta,2020,1820.0
531,ceuta,2020,1834.0
532,ceuta,2020,1834.0
533,ceuta,2020,1816.0
534,ceuta,2021,1823.0
535,ceuta,2021,1846.0
536,ceuta,2021,1864.0
537,ceuta,2021,1891.0
538,ceuta,2022,1904.0
539,comunidad-foral-navarra,2003,1251.0
540,comunidad-foral-navarra,2003,1269.0
541,comunidad-foral-navarra,2003,1277.0
542,comunidad-foral-navarra,2003,1294.0
543,comunidad-foral-navarra,2004,1318.0
544,comunidad-foral-navarra,2004,1353.0
545,comunidad-foral-navarra,2004,1393.0
546,comunidad-foral-navarra,2004,1445.0
547,comunidad-foral-navarra,2005,1513.0
548,comunidad-foral-navarra,2005,1520.0
549,comunidad-foral-navarra,2005,1558.0
550,comunidad-foral-navarra,2005,1617.0
551,comunidad-foral-navarra,2006,1665.0
552,comunidad-foral-navarra,2006,1719.0
553,comunidad-foral-navarra,2006,1793.0
554,comunidad-foral-navarra,2006,1835.0
555,comunidad-foral-navarra,2007,1849.0
556,comunidad-foral-navarra,2007,1904.0
557,comunidad-foral-navarra,2007,1927.0
558,comunidad-foral-navarra,2007,1946.0
559,comunidad-foral-navarra,2008,1979.0
560,comunidad-foral-navarra,2008,1981.0
561,comunidad-foral-navarra,2008,1988.0
562,comunidad-foral-navarra,2008,2029.0
563,comunidad-foral-navarra,2009,2065.0
564,comunidad-foral-navarra,2009,2069.0
565,comunidad-foral-navarra,2009,2048.0
566,comunidad-foral-navarra,2009,2026.0
567,comunidad-foral-navarra,2010,2003.0
568,comunidad-foral-navarra,2010,1981.0
569,comunidad-foral-navarra,2010,1951.0
570,comunidad-foral-navarra,2010,1913.0
571,comunidad-foral-navarra,2011,1902.0
572,comunidad-foral-navarra,2011,1875.0
573,comunidad-foral-navarra,2011,1845.0
574,comunidad-foral-navarra,2011,1815.0
575,comunidad-foral-navarra,2012,1776.0
576,comunidad-foral-navarra,2012,1708.0
577,comunidad-foral-navarra,2012,1636.0
578,comunidad-foral-navarra,2012,1582.0
579,comunidad-foral-navarra,2013,1534.0
580,comunidad-foral-navarra,2013,1498.0
581,comunidad-foral-navarra,2013,1474.0
582,comunidad-foral-navarra,2013,1446.0
583,comunidad-foral-navarra,2014,1407.0
584,comunidad-foral-navarra,2014,1381.0
585,comunidad-foral-navarra,2014,1348.0
586,comunidad-foral-navarra,2014,1318.0
587,comunidad-foral-navarra,2015,1274.0
588,comunidad-foral-navarra,2015,1230.0
589,comunidad-foral-navarra,2015,1213.0
590,comunidad-foral-navarra,2015,1199.0
591,comunidad-foral-navarra,2016,1186.0
592,comunidad-foral-navarra,2016,1168.0
593,comunidad-foral-navarra,2016,1153.0
594,comunidad-foral-navarra,2016,1121.0
595,comunidad-foral-navarra,2017,1129.0
596,comunidad-foral-navarra,2017,1149.0
597,comunidad-foral-navarra,2017,1158.0
598,comunidad-foral-navarra,2017,1142.0
599,comunidad-foral-navarra,2018,1143.0
600,comunidad-foral-navarra,2018,1161.0
601,comunidad-foral-navarra,2018,1177.0
602,comunidad-foral-navarra,2018,1182.0
603,comunidad-foral-navarra,2019,1194.0
604,comunidad-foral-navarra,2019,1213.0
605,comunidad-foral-navarra,2019,1232.0
606,comunidad-foral-navarra,2019,1259.0
607,comunidad-foral-navarra,2020,1284.0
608,comunidad-foral-navarra,2020,1317.0
609,comunidad-foral-navarra,2020,1304.0
610,comunidad-foral-navarra,2020,1308.0
611,comunidad-foral-navarra,2021,1303.0
612,comunidad-foral-navarra,2021,1329.0
613,comunidad-foral-navarra,2021,1354.0
614,comunidad-foral-navarra,2021,1383.0
615,comunidad-foral-navarra,2022,1414.0
616,comunidad-madrid,2003,1790.0
617,comunidad-madrid,2003,1894.0
618,comunidad-madrid,2003,1996.0
619,comunidad-madrid,2003,2112.0
620,comunidad-madrid,2004,2218.0
621,comunidad-madrid,2004,2324.0
622,comunidad-madrid,2004,2418.0
623,comunidad-madrid,2004,2511.0
624,comunidad-madrid,2005,2585.0
625,comunidad-madrid,2005,2667.0
626,comunidad-madrid,2005,2742.0
627,comunidad-madrid,2005,2822.0
628,comunidad-madrid,2006,2900.0
629,comunidad-madrid,2006,2975.0
641,comunidad-madrid,2009,2974.0
642,comunidad-madrid,2009,2885.0
643,comunidad-madrid,2009,2884.0
644,comunidad-madrid,2010,2812.0
645,comunidad-madrid,2010,2784.0
646,comunidad-madrid,2010,2755.0
647,comunidad-madrid,2010,2736.0
648,comunidad-madrid,2011,2704.0
649,comunidad-madrid,2011,2684.0
650,comunidad-madrid,2011,2626.0
651,comunidad-madrid,2011,2581.0
652,comunidad-madrid,2012,2522.0
653,comunidad-madrid,2012,2467.0
654,comunidad-madrid,2012,2354.0
655,comunidad-madrid,2012,2281.0
656,comunidad-madrid,2013,2217.0
657,comunidad-madrid,2013,2131.0
658,comunidad-madrid,2013,2023.0
659,comunidad-madrid,2013,1959.0
660,comunidad-madrid,2014,1911.0
661,comunidad-madrid,2014,1862.0
662,comunidad-madrid,2014,1842.0
663,comunidad-madrid,2014,1836.0
664,comunidad-madrid,2015,1816.0
665,comunidad-madrid,2015,1812.0
666,comunidad-madrid,2015,1814.0
667,comunidad-madrid,2015,1828.0
668,comunidad-madrid,2016,1847.0
669,comunidad-madrid,2016,1865.0
670,comunidad-madrid,2016,1878.0
671,comunidad-madrid,2016,1897.0
672,comunidad-madrid,2017,1977.0
673,comunidad-madrid,2017,2026.0
674,comunidad-madrid,2017,2076.0
675,comunidad-madrid,2017,2112.0
676,comunidad-madrid,2018,2164.0
677,comunidad-madrid,2018,2221.0
678,comunidad-madrid,2018,2283.0
679,comunidad-madrid,2018,2331.0
680,comunidad-madrid,2019,2361.0
681,comunidad-madrid,2019,2398.0
682,comunidad-madrid,2019,2442.0
683,comunidad-madrid,2019,2508.0
684,comunidad-madrid,2020,2540.0
685,comunidad-madrid,2020,2511.0
686,comunidad-madrid,2020,2459.0
687,comunidad-madrid,2020,2465.0
688,comunidad-madrid,2021,2471.0
689,comunidad-madrid,2021,2507.0
690,comunidad-madrid,2021,2577.0
691,comunidad-madrid,2021,2634.0
692,comunidad-madrid,2022,2747.0
693,comunitat-valenciana,2003,915.0
694,comunitat-valenciana,2003,959.0
695,comunitat-valenciana,2003,1000.0
696,comunitat-valenciana,2003,1038.0
697,comunitat-valenciana,2004,1084.0
698,comunitat-valenciana,2004,1144.0
699,comunitat-valenciana,2004,1204.0
700,comunitat-valenciana,2004,1250.0
701,comunitat-valenciana,2005,1308.0
702,comunitat-valenciana,2005,1373.0
703,comunitat-valenciana,2005,1444.0
704,comunitat-valenciana,2005,1504.0
705,comunitat-valenciana,2006,1557.0
706,comunitat-valenciana,2006,1621.0
707,comunitat-valenciana,2006,1682.0
708,comunitat-valenciana,2006,1737.0
709,comunitat-valenciana,2007,1782.0
710,comunitat-valenciana,2007,1823.0
711,comunitat-valenciana,2007,1860.0
712,comunitat-valenciana,2007,1876.0
713,comunitat-valenciana,2008,1878.0
714,comunitat-valenciana,2008,1868.0
715,comunitat-valenciana,2008,1844.0
716,comunitat-valenciana,2008,1804.0
717,comunitat-valenciana,2009,1740.0
718,comunitat-valenciana,2009,1709.0
719,comunitat-valenciana,2009,1677.0
720,comunitat-valenciana,2009,1644.0
721,comunitat-valenciana,2010,1612.0
722,comunitat-valenciana,2010,1593.0
723,comunitat-valenciana,2010,1569.0
724,comunitat-valenciana,2010,1543.0
725,comunitat-valenciana,2011,1515.0
726,comunitat-valenciana,2011,1515.0
727,comunitat-valenciana,2011,1521.0
728,comunitat-valenciana,2011,1467.0
729,comunitat-valenciana,2012,1422.0
730,comunitat-valenciana,2012,1367.0
731,comunitat-valenciana,2012,1338.0
732,comunitat-valenciana,2012,1299.0
733,comunitat-valenciana,2013,1253.0
734,comunitat-valenciana,2013,1223.0
735,comunitat-valenciana,2013,1190.0
736,comunitat-valenciana,2013,1147.0
737,comunitat-valenciana,2014,1079.0
738,comunitat-valenciana,2014,1081.0
739,comunitat-valenciana,2014,1072.0
740,comunitat-valenciana,2014,1057.0
741,comunitat-valenciana,2015,1035.0
742,comunitat-valenciana,2015,1036.0
743,comunitat-valenciana,2015,1029.0
744,comunitat-valenciana,2015,1025.0
745,comunitat-valenciana,2016,1020.0
746,comunitat-valenciana,2016,1020.0
747,comunitat-valenciana,2016,1022.0
748,comunitat-valenciana,2016,1026.0
749,comunitat-valenciana,2017,1022.0
750,comunitat-valenciana,2017,1026.0
751,comunitat-valenciana,2017,1037.0
752,comunitat-valenciana,2017,1037.0
753,comunitat-valenciana,2018,1044.0
754,comunitat-valenciana,2018,1080.0
755,comunitat-valenciana,2018,1094.0
756,comunitat-valenciana,2018,1101.0
757,comunitat-valenciana,2019,1116.0
758,comunitat-valenciana,2019,1110.0
759,comunitat-valenciana,2019,1119.0
760,comunitat-valenciana,2019,1135.0
761,comunitat-valenciana,2020,1149.0
762,comunitat-valenciana,2020,1146.0
763,comunitat-valenciana,2020,1150.0
764,comunitat-valenciana,2020,1147.0
765,comunitat-valenciana,2021,1157.0
766,comunitat-valenciana,2021,1179.0
767,comunitat-valenciana,2021,1177.0
768,comunitat-valenciana,2021,1206.0
769,comunitat-valenciana,2022,1219.0
770,extremadura,2003,626.0
771,extremadura,2003,648.0
772,extremadura,2003,672.0
773,extremadura,2003,691.0
774,extremadura,2004,710.0
775,extremadura,2004,735.0
776,extremadura,2004,754.0
777,extremadura,2004,781.0
778,extremadura,2005,804.0
779,extremadura,2005,839.0
780,extremadura,2005,874.0
781,extremadura,2005,888.0
782,extremadura,2006,905.0
783,extremadura,2006,937.0
784,extremadura,2006,957.0
785,extremadura,2006,982.0
786,extremadura,2007,1010.0
787,extremadura,2007,1037.0
788,extremadura,2007,1050.0
789,extremadura,2007,1057.0
790,extremadura,2008,1064.0
791,extremadura,2008,1067.0
792,extremadura,2008,1066.0
793,extremadura,2008,1067.0
794,extremadura,2009,1064.0
795,extremadura,2009,1064.0
796,extremadura,2009,1047.0
797,extremadura,2009,1052.0
798,extremadura,2010,1016.0
799,extremadura,2010,1013.0
800,extremadura,2010,994.0
801,extremadura,2010,997.0
802,extremadura,2011,1001.0
803,extremadura,2011,1005.0
804,extremadura,2011,993.0
805,extremadura,2011,974.0
806,extremadura,2012,953.0
807,extremadura,2012,937.0
808,extremadura,2012,913.0
809,extremadura,2012,910.0
810,extremadura,2013,898.0
811,extremadura,2013,873.0
812,extremadura,2013,864.0
813,extremadura,2013,873.0
814,extremadura,2014,862.0
815,extremadura,2014,859.0
816,extremadura,2014,837.0
817,extremadura,2014,823.0
818,extremadura,2015,824.0
819,extremadura,2015,818.0
820,extremadura,2015,811.0
821,extremadura,2015,812.0
822,extremadura,2016,812.0
823,extremadura,2016,801.0
824,extremadura,2016,805.0
825,extremadura,2016,804.0
826,extremadura,2017,806.0
827,extremadura,2017,807.0
828,extremadura,2017,806.0
829,extremadura,2017,799.0
830,extremadura,2018,804.0
831,extremadura,2018,790.0
832,extremadura,2018,801.0
833,extremadura,2018,805.0
834,extremadura,2019,807.0
835,extremadura,2019,806.0
836,extremadura,2019,815.0
837,extremadura,2019,821.0
838,extremadura,2020,825.0
839,extremadura,2020,829.0
840,extremadura,2020,832.0
841,extremadura,2020,831.0
842,extremadura,2021,832.0
843,extremadura,2021,830.0
844,extremadura,2021,838.0
845,extremadura,2021,839.0
846,extremadura,2022,833.0
847,galicia,2003,887.0
848,galicia,2003,909.0
849,galicia,2003,931.0
850,galicia,2003,949.0
