,comunidad,year,precio
0,andalucia,2003,995.0
1,andalucia,2003,1033.0
2,andalucia,2003,1094.0
3,andalucia,2003,1133.0
4,andalucia,2004,1186.0
5,andalucia,2004,1268.0
6,andalucia,2004,1325.0
7,andalucia,2004,1385.0
8,andalucia,2005,1444.0
9,andalucia,2005,1508.0
10,andalucia,2005,1575.0
11,andalucia,2005,1635.0
12,andalucia,2006,1690.0
13,andalucia,2006,1743.0
14,andalucia,2006,1786.0
15,andalucia,2006,1853.0
16,andalucia,2007,1891.0
17,andalucia,2007,1918.0
18,andalucia,2007,1947.0
19,andalucia,2007,1961.0
20,andalucia,2008,1966.0
21,andalucia,2008,1954.0
22,andalucia,2008,1943.0
23,andalucia,2008,1913.0
24,andalucia,2009,1855.0
25,andalucia,2009,1819.0
26,andalucia,2009,1803.0
27,andalucia,2009,1766.0
28,andalucia,2010,1753.0
29,andalucia,2010,1708.0
30,andalucia,2010,1676.0
31,andalucia,2010,1649.0
32,andalucia,2011,1628.0
33,andalucia,2011,1608.0
34,andalucia,2011,1572.0
35,andalucia,2011,1546.0
36,andalucia,2012,1514.0
37,andalucia,2012,1467.0
38,andalucia,2012,1429.0
39,andalucia,2012,1391.0
40,andalucia,2013,1334.0
41,andalucia,2013,1300.0
42,andalucia,2013,1267.0
43,andalucia,2013,1245.0
44,andalucia,2014,1201.0
45,andalucia,2014,1196.0
46,andalucia,2014,1186.0
47,andalucia,2014,1168.0
48,andalucia,2015,1156.0
49,andalucia,2015,1148.0
50,andalucia,2015,1149.0
51,andalucia,2015,1154.0
52,andalucia,2016,1163.0
53,andalucia,2016,1161.0
54,andalucia,2016,1153.0
55,andalucia,2016,1160.0
56,andalucia,2017,1168.0
57,andalucia,2017,1169.0
58,andalucia,2017,1183.0
59,andalucia,2017,1193.0
60,andalucia,2018,1202.0
61,andalucia,2018,1220.0
62,andalucia,2018,1226.0
63,andalucia,2018,1238.0
64,andalucia,2019,1233.0
65,andalucia,2019,1251.0
66,andalucia,2019,1256.0
67,andalucia,2019,1262.0
68,andalucia,2020,1274.0
69,andalucia,2020,1278.0
70,andalucia,2020,1268.0
71,andalucia,2020,1275.0
72,andalucia,2021,1266.0
73,andalucia,2021,1302.0
74,andalucia,2021,1330.0
75,andalucia,2021,1364.0
76,andalucia,2022,1367.0
77,aragon,2003,1055.0
78,aragon,2003,1077.0
79,aragon,2003,1093.0
80,aragon,2003,1122.0
81,aragon,2004,1170.0
82,aragon,2004,1230.0
83,aragon,2004,1260.0
84,aragon,2004,1307.0
85,aragon,2005,1371.0
86,aragon,2005,1422.0
87,aragon,2005,1487.0
88,aragon,2005,1566.0
89,aragon,2006,1653.0
90,aragon,2006,1734.0
91,aragon,2006,1800.0
92,aragon,2006,1862.0
93,aragon,2007,1934.0
94,aragon,2007,1967.0
95,aragon,2007,1963.0
96,aragon,2007,1966.0
97,aragon,2008,1965.0
98,aragon,2008,1942.0
99,aragon,2008,1910.0
100,aragon,2008,1909.0
101,aragon,2009,1895.0
102,aragon,2009,1890.0
103,aragon,2009,1913.0
104,aragon,2009,1918.0
105,aragon,2010,1877.0
106,aragon,2010,1810.0
107,aragon,2010,1774.0
108,aragon,2010,1729.0
109,aragon,2011,1676.0
